vid,conflicting_exe
0x03F0,NGenuity2.exe
0x0414,RGBFusion.exe
0x0416,L-Connect-Service-Watcher.exe
0x0416,L-Connect-Service.exe
0x0738,HUD.exe
0x0B05,LightingService.exe
0x0C45,ORIOS.exe
0x0DB0,DCv2.exe
0x0DB0,Dragon Center
0x0DB0,LedKeeper.exe
0x0DB0,LightKeeperService.exe
0x0DB0,LightKeeperService2.exe
0x1038,SteelSeriesEngine.exe
0x1038,SteelSeriesGG.exe
0x1038,SteelSeriesGGClient.exe
0x1038,SteelSeriesPrism.exe
0x1044,RGBFusion.exe
0x125F,XPG-Prime.exe
0x1462,DCv2.exe
0x1462,Dragon Center
0x1462,LedKeeper.exe
0x1462,LightKeeperService.exe
0x1462,LightKeeperService2.exe
0x2516,HID.exe
0x2516,MasterPlusApp.exe
0x2516,PredatorSense.exe
0x264A,TT iTAKE Engine.exe
0x31E3,wootility-lekker.exe
0x4A4C,TECLADO MECANICO GAMER.exe
0x504B,VIA.exe
0x87AD,TRCC.exe
